Temperature_C,AvgThermDiff_mm2_s,Uncertai95CI_mm2_s,PercenUncertai95CI,RandomUncertai_salpha,SystemUncertai_balpha,Temperature_C,AvgSpeciHeat_J_gK,Uncertai95CI_J_gK,PercenUncertai95CI,RandomUncertai_scp,SystemUncertai_bcp,Thermal Conductivity (W/mK)
25,11.12775,1.322084802,11.88097146,0.441833443,0.16691625,,,,,,,
40,10.7695,1.278019309,11.86702548,0.427151978,0.1615425,,,,,,,
60,10.34125,1.206021949,11.66224536,0.403607095,0.15511875,,,,,,,
80,9.93725,1.154177527,11.61465724,0.386324588,0.14905875,,,,,,,
100,9.558,1.120420692,11.72233409,0.374769346,0.14337,,,,,,,
120,9.20975,1.066536164,11.58051157,0.357097121,0.13814625,,,,,,,
140,8.89225,1.051239621,11.82197555,0.351410521,0.13338375,,,,,,,
160,8.60375,1.020664789,11.86302239,0.341113098,0.12905625,,,,,,,
180,8.32275,0.97824573,11.75387619,0.327146024,0.12484125,,,,,,,
200,8.07575,0.96474006,11.94613577,0.32225598,0.12113625,,,,,,,
220,7.838,0.932781182,11.90075507,0.311661041,0.11757,,,,,,,
240,7.6375,0.920570163,12.05329182,0.307296274,0.1145625,,,,,,,
260,7.432,0.904240978,12.16685923,0.301637268,0.11148,260,1.221709159,0.043257192,3.540711103,0.005294831,0.02137991,14.52758795
280,7.247,0.881506791,12.16374763,0.294066532,0.108705,280,1.250984704,0.044318535,3.542692029,0.005467849,0.021892232,14.50541784
300,7.0745,0.855152663,12.0878177,0.285399318,0.1061175,300,1.280507101,0.045212118,3.530797925,0.005305992,0.022408874,14.49431598
320,6.91475,0.854568624,12.3586337,0.284758706,0.10372125,320,1.314046847,0.045688109,3.476901093,0.003759626,0.02299582,14.53808869
340,6.76675,0.838925549,12.39776184,0.279486061,0.10150125,340,1.341126033,0.047300338,3.526912194,0.005453382,0.023469706,14.52010334
360,6.629,0.818900704,12.35330674,0.272876231,0.099435,360,1.366800443,0.048543093,3.551585966,0.006194553,0.023919008,14.49683221
380,6.5005,0.808877913,12.44331841,0.269396509,0.0975075,380,1.392211066,0.048947005,3.515774735,0.005338441,0.024363694,14.48010885
400,6.379,0.79285691,12.42917243,0.264078942,0.095685,400,1.413108695,0.050084929,3.544308317,0.006218616,0.024729402,14.42275259
420,6.26425,0.782840925,12.49696172,0.26063768,0.09396375,420,1.435675746,0.051461846,3.584503418,0.00729042,0.025124326,14.38949087
440,6.1575,0.772363963,12.54346672,0.257084333,0.0923625,440,1.456318148,0.052409483,3.598766029,0.00770998,0.025485568,14.3476464
460,6.05875,0.763131504,12.5955272,0.253934457,0.09088125,460,1.471033107,0.051384181,3.493067593,0.004861448,0.025743079,14.26019494
480,5.96725,0.755396388,12.65903704,0.251273921,0.08950875,480,1.483279783,0.051654202,3.482431463,0.004480892,0.025957396,14.16176205
500,5.884,0.75256053,12.78994782,0.250150788,0.08826,500,1.489566556,0.051264261,3.441555577,0.002138769,0.026067415,14.02337538
520,5.799,0.736783684,12.70535754,0.245025636,0.086985,520,1.488392107,0.052527748,3.529160597,0.006119162,0.026046862,13.80989732
540,5.72325,0.741000016,12.94718937,0.246095637,0.08584875,540,1.481004121,0.056715519,3.829531486,0.011698628,0.025917572,13.56185093
560,5.648,0.734018786,12.99608332,0.243711236,0.08472,560,1.480407229,0.06843488,4.622706413,0.019222519,0.025907127,13.37814405
580,5.574,0.724698303,13.00140479,0.240610248,0.08361,580,1.473772901,0.080611374,5.469728357,0.024494755,0.025791026,13.14369624
600,5.50675,0.719098272,13.05848771,0.238680007,0.08260125,600,1.478355744,0.078718592,5.324739467,0.023741872,0.025871226,13.02549679
620,5.44425,0.713538917,13.10628493,0.236774374,0.08166375,620,1.478217165,0.084138582,5.691895915,0.025787586,0.0258688,12.87645408
640,5.38675,0.707803028,13.13970443,0.234826931,0.08080125,640,1.475548893,0.087580049,5.935421691,0.02701432,0.025822106,12.7174608
660,5.327,0.702945351,13.19589547,0.23315097,0.079905,660,1.480986049,0.089858111,6.067451582,0.027783894,0.025917256,12.62274029
680,5.272,0.700475761,13.28671778,0.232214296,0.07908,680,1.483664099,0.100898122,6.800604116,0.031331569,0.025964122,12.51500341
700,5.22025,0.69202688,13.25658503,0.229456968,0.07830375,700,1.489069077,0.090280872,6.062906928,0.027912591,0.026058709,12.43730056
720,5.17,0.68886603,13.32429459,0.228324924,0.07755,720,1.490210723,0.082834724,5.558591356,0.025266503,0.026078688,12.3270231
740,5.123,0.689261806,13.45426129,0.228306765,0.076845,740,1.489891288,0.085787924,5.757998933,0.026346075,0.026073098,12.21234091
760,5.07625,0.684691984,13.48814545,0.226756937,0.07614375,760,1.491489461,0.08457704,5.670642821,0.025903925,0.026101066,12.1138774
780,5.03475,0.681881559,13.54350382,0.225759136,0.07552125,780,1.494694217,0.079956416,5.349349419,0.024148611,0.026157149,12.04065874
800,4.99,0.683964528,13.70670398,0.226267357,0.07485,800,1.495487082,0.077490844,5.181645828,0.023158906,0.026171024,11.93996886
820,4.95225,0.687435362,13.88127341,0.227214427,0.07428375,820,1.495597412,0.076329358,5.103603273,0.022678324,0.026172955,11.85051566
840,4.9135,0.680639137,13.85242977,0.225001528,0.0737025,840,1.497547798,0.069698414,4.6541696,0.01967707,0.026207086,11.77312177
860,4.87675,0.684845855,14.04307899,0.226186639,0.07315125,860,1.502563863,0.068467099,4.556684774,0.019011166,0.026294868,11.72420531
880,4.8445,0.684370726,14.12675665,0.225934034,0.0726675,880,1.503532929,0.066557585,4.426746087,0.017993519,0.026311826,11.65418444
900,4.8105,0.681412897,14.16511582,0.224923089,0.0721575,900,1.508621505,0.06526026,4.325820591,0.017201129,0.026400876,11.611558
920,4.78375,0.686030775,14.34085758,0.226265791,0.07175625,920,1.51213425,0.065860549,4.3554697,0.017497579,0.026462349,11.57387555
940,4.75225,0.680921449,14.32840127,0.224594681,0.07128375,940,1.511244305,0.0670204,4.434782662,0.018151834,0.026446775,11.49089719
960,4.7235,0.689922134,14.60616352,0.227267189,0.0708525,960,1.51144121,0.072271781,4.781646842,0.020777908,0.026450221,11.42286809
980,4.69675,0.685927723,14.60430559,0.225972205,0.07045125,980,1.507947691,0.075559648,5.010760575,0.022272446,0.026389085,11.33192531
1000,4.67125,0.684850135,14.66096087,0.225532795,0.07006875,1000,1.507750943,0.08143876,5.40134032,0.024664306,0.026385641,11.26893055
1020,4.65075,0.684892385,14.72649326,0.225482723,0.06976125,1020,1.504810181,0.088519988,5.882468682,0.02727261,0.026334178,11.19759352
1040,4.62825,0.684935411,14.79901498,0.22544068,0.06942375,1040,1.505444415,0.09985921,6.63320473,0.03101131,0.026345277,11.14811698
1060,4.61225,0.688669796,14.93131978,0.226554169,0.06918375,,,,,,,
1080,4.59625,0.684226046,14.88661509,0.225124318,0.06894375,,,,,,,
1100,4.58475,0.684212883,14.92366832,0.225081282,0.06877125,,,,,,,
1120,4.578,0.685524924,14.97433212,0.225487065,0.06867,,,,,,,
1140,4.58025,0.684084998,14.9355384,0.225023795,0.06870375,,,,,,,
1160,4.58525,0.669250041,14.59571541,0.220470283,0.06877875,,,,,,,
1180,4.59825,0.667854899,14.52411024,0.220086583,0.06897375,,,,,,,